example_id                                                            | status  | run_time        |
./spec/controllers/categories_controller_spec.rb[1:6:1:2]             | pending | 0.01667 seconds |
./spec/controllers/categories_controller_spec.rb[1:6:2:1]             | pending | 0.01689 seconds |
./spec/controllers/categories_controller_spec.rb[1:7:1]               | pending | 0.01638 seconds |
./spec/controllers/categories_controller_spec.rb[1:7:2]               | pending | 0.01652 seconds |
./spec/controllers/products_controller_spec.rb[1:1:1]                 | pending | 0.01713 seconds |
./spec/controllers/products_controller_spec.rb[1:2:1]                 | pending | 0.01642 seconds |
./spec/controllers/products_controller_spec.rb[1:3:1]                 | passed  | 0.04667 seconds |
./spec/controllers/products_controller_spec.rb[1:4:1]                 | pending | 0.01664 seconds |
./spec/controllers/products_controller_spec.rb[1:5:1:1]               | pending | 0.02165 seconds |
./spec/controllers/products_controller_spec.rb[1:5:1:2]               | pending | 0.02054 seconds |
./spec/controllers/products_controller_spec.rb[1:5:2:1]               | pending | 0.0209 seconds  |
./spec/controllers/products_controller_spec.rb[1:6:1:1]               | pending | 0.017 seconds   |
./spec/controllers/products_controller_spec.rb[1:6:1:2]               | pending | 0.01687 seconds |
./spec/controllers/products_controller_spec.rb[1:6:2:1]               | pending | 0.01724 seconds |
./spec/controllers/products_controller_spec.rb[1:7:1]                 | pending | 0.01723 seconds |
./spec/controllers/products_controller_spec.rb[1:7:2]                 | pending | 0.01735 seconds |
./spec/helpers/accounts_helper_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/helpers/categories_helper_spec.rb[1:1]                         | pending | 0.00001 seconds |
./spec/helpers/products_helper_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/models/account_spec.rb[1:1]                                    | pending | 0.00001 seconds |
./spec/models/category_spec.rb[1:1]                                   | pending | 0.00001 seconds |
./spec/models/order_spec.rb[1:1]                                      | pending | 0.00001 seconds |
./spec/models/order_token_spec.rb[1:1]                                | pending | 0.00001 seconds |
./spec/models/product_spec.rb[1:1]                                    | pending | 0.00001 seconds |
./spec/models/status_spec.rb[1:1]                                     | pending | 0.00001 seconds |
./spec/requests/accounts_spec.rb[1:1:1]                               | passed  | 0.03046 seconds |
./spec/requests/categories_spec.rb[1:1:1]                             | passed  | 0.02389 seconds |
./spec/requests/products_spec.rb[1:1:1]                               | passed  | 0.02415 seconds |
./spec/routing/accounts_routing_spec.rb[1:1:1]                        | passed  | 0.01712 seconds |
./spec/routing/accounts_routing_spec.rb[1:1:2]                        | passed  | 0.0173 seconds  |
./spec/routing/accounts_routing_spec.rb[1:1:3]                        | passed  | 0.0174 seconds  |
./spec/routing/accounts_routing_spec.rb[1:1:4]                        | passed  | 0.01744 seconds |
./spec/routing/accounts_routing_spec.rb[1:1:5]                        | passed  | 0.01747 seconds |
./spec/routing/accounts_routing_spec.rb[1:1:6]                        | passed  | 0.01756 seconds |
./spec/routing/accounts_routing_spec.rb[1:1:7]                        | passed  | 0.01747 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:1]                       | passed  | 0.01744 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:2]                       | passed  | 0.01785 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:3]                       | passed  | 0.01732 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:4]                       | passed  | 0.03225 seconds |
./spec/routing/categories_routing_spec.rb[1:1:1]                      | passed  | 0.01516 seconds |
./spec/routing/categories_routing_spec.rb[1:1:2]                      | passed  | 0.01523 seconds |
./spec/routing/categories_routing_spec.rb[1:1:3]                      | passed  | 0.01507 seconds |
./spec/routing/categories_routing_spec.rb[1:1:4]                      | passed  | 0.01542 seconds |
./spec/routing/categories_routing_spec.rb[1:1:5]                      | passed  | 0.01523 seconds |
./spec/routing/categories_routing_spec.rb[1:1:6]                      | passed  | 0.01542 seconds |
./spec/routing/categories_routing_spec.rb[1:1:7]                      | passed  | 0.01497 seconds |
./spec/routing/categories_routing_spec.rb[1:1:8]                      | passed  | 0.01524 seconds |
./spec/routing/orders_routing_spec.rb[1:1:1]                          | passed  | 0.01514 seconds |
./spec/routing/products_routing_spec.rb[1:1:1]                        | passed  | 0.01502 seconds |
./spec/routing/products_routing_spec.rb[1:1:2]                        | passed  | 0.01529 seconds |
./spec/routing/products_routing_spec.rb[1:1:3]                        | passed  | 0.01521 seconds |
./spec/routing/products_routing_spec.rb[1:1:4]                        | passed  | 0.0154 seconds  |
./spec/routing/products_routing_spec.rb[1:1:5]                        | passed  | 0.01508 seconds |
./spec/routing/products_routing_spec.rb[1:1:6]                        | passed  | 0.01555 seconds |
./spec/routing/products_routing_spec.rb[1:1:7]                        | passed  | 0.01534 seconds |
./spec/routing/products_routing_spec.rb[1:1:8]                        | passed  | 0.01523 seconds |
